x,f,y
0.0,0.0477903522728,0.08135022526740207
0.01,0.0511994549171,0.13995920593790268
0.02,0.054799291699599996,0.2572276575642667
0.03,0.0585963130405,0.14057094407982273
0.04,0.06259687279090001,0.036210938746908325
0.05,0.0668072012689,-0.045881051952752244
0.06,0.071233377414,0.13538733563964117
0.07,0.0758813001723,-0.09422951281759588
0.08,0.0807566592338,-0.1175844208792179
0.09,0.0858649052574,0.16574686586045348
0.1,0.09121121972589999,0.08002214896204413
0.11,0.0968004845856,0.19462469870568314
0.12,0.102637251832,-0.04900540131394797
0.13,0.108725713213,0.2828998734833865
0.14,0.115069670222,0.13994873934241225
0.15,0.121672504574,-0.06952655871251717
0.16,0.128537149342,0.07221206275318803
0.17,0.135666060946,0.07478324163346073
0.18,0.143061192196,0.10969335513920841
0.19,0.150723966569,0.1514643848607283
0.2,0.158655253931,0.16366097809859803
0.21,0.16685534787200001,0.1663059697187399
0.22,0.17532394485199998,0.05741211577759066
0.23,0.18406012534699998,0.2509969031088613
0.24,0.19306233714200002,0.16043871633447349
0.25,0.202328380964,0.119963604608921
0.26,0.211855398583,0.2668921885876613
0.27,0.221639863544,0.41371663627507144
0.28,0.231677574635,0.34729995579459794
0.29,0.241963652223,0.23470275158145282
0.3,0.252492537547,-0.0361335498174869
0.31,0.263257995039,0.36465997279199147
0.32,0.27425311775,0.30318782388534593
0.33,0.285470335901,0.1612596810083204
0.34,0.296901428604,0.33691905076099
0.344715713763,0.302363705637,0.3004246402758499
0.35,0.308537538726,0.4088418423465082
0.36,0.320369190901,0.3412892006006834
0.37,0.33238631262699997,0.3532849765544868
0.38,0.34457825839,0.4523895738695453
0.39,0.35693383673699997,0.32941314297984053
0.4,0.36944134018200003,0.37274694975439265
0.41,0.382088577811,0.4810758886951361
0.42,0.394862910464,0.4353652433079782
0.43,0.407751288297,0.32407871996659066
0.437548745744,0.417547785131,0.2518442953602319
0.44,0.42074029056100004,0.3485447769763327
0.45,0.433816167389,0.3621284477951968
0.46,0.446964883376,0.6290404414272153
0.47,0.460172162723,0.39470175424900056
0.48,0.4734235357,0.5899664277821919
0.49,0.486704386183,0.5554510444477706
0.494577827691,0.49278994659599995,0.5635891445279347
0.495045049995,0.49341116938699997,0.40574727010357176
0.5,0.5,0.5291329026287236
0.51,0.5132956138170001,0.6524511299452069
0.52,0.5265764643,0.4046560369711289
0.5212557181759999,0.528242383876,0.5159970866797611
0.526608256625,0.5353375244799999,0.5304543728931367
0.53,0.539827837277,0.47859280827286504
0.533768322344,0.544810726538,0.4296685971822223
0.535968242653,0.547716497566,0.6095235680749226
0.536595231099,0.548544196158,0.5425570090408968
0.54,0.553035116624,0.299440218644662
0.55,0.566183832611,0.4981246276964751
0.555768229232,0.573736094456,0.6364120740784461
0.56,0.579259709439,0.5484171124376005
0.566962655606,0.5883135185930001,0.6197231163794661
0.57,0.592248711703,0.5605194176226153
0.58,0.605137089536,0.681617344568741
0.581132682743,0.606589990025,0.6839473020392364
0.5833460980640001,0.6094248566920001,0.4549947350417043
0.586109458683,0.612955910551,0.7394160432018401
0.59,0.617911422189,0.5660469804905373
0.59377225715,0.622697905386,0.7243892128313496
0.5951620681650001,0.624456690361,0.7293356523147633
0.5964327370629999,0.6260624435600001,0.4059511106534693
0.599565182829,0.630011552167,0.8455103993447461
0.6,0.630558659818,0.7668497852745404
0.604597804063,0.636327466138,0.7397659080327481
0.6067705682060001,0.6390429813340001,0.7163181585813715
0.609101715955,0.641948667111,0.5615151148530465
0.609942963817,0.642995244661,0.7215652285415826
0.61,0.643066163263,0.6993869027095672
0.613602161068,0.647534970321,0.7729015082643612
0.62,0.6554217416100001,0.5705867007605943
0.620264804946,0.655746750038,0.7382538465473143
0.622712664188,0.6587456589399999,0.6546292246451344
0.63,0.667613687373,0.817689500024269
0.630689163061,0.668447596739,0.5389090336007112
0.630713611303,0.668477164595,0.5844470002642568
0.631663214171,0.6696248063470001,0.5170745788109965
0.6363394863,0.675252894712,0.8171691389058214
0.637120887523,0.6761894990080001,0.6569722349425993
